IATA_CODE,AIRPORT,CITY,STATE_CODE_AIRPORT,COUNTRY_AIRPORT,LATITUDE_AIRPORT,LONGITUDE_AIRPORT,STATION,STATION_DISTANCE,TMAX,TMIN,PRCP,SNOW,TOTAL,LATITUDE_STATION,LONGITUDE_STATION,STATE_CODE,NAME_STATION,COUNTRY_STATION,AIRPORT_STATION_DUMMY
ABE,Lehigh Valley International Airport,Allentown,PA,USA,40.65236,-75.4404,USW00014737,0.763,0,0,0,0,0,40.6508,-75.4492,PA,ALLENTOWN INTL AP,United States,TRUE
ABI,Abilene Regional Airport,Abilene,TX,USA,32.41132,-99.6819,USW00013962,0.085,0,0,0,0,0,32.4106,-99.6822,TX,ABILENE RGNL AP,United States,TRUE
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,USW00023050,0.613,0,0,0,0,0,35.0419,-106.6156,NM,ALBUQUERQUE INTL AP,United States,TRUE
ABR,Aberdeen Regional Airport,Aberdeen,SD,USA,45.44906,-98.42183,USC00390022,0.915,2,3,0,0,5,45.4553,-98.4142,SD,ABERDEEN 3 E,United States,FALSE
ABY,Southwest Georgia Regional Airport,Albany,GA,USA,31.53552,-84.19447,USW00013869,0.011,0,0,0,7,7,31.5356,-84.1944,GA,ALBANY SW GA RGNL AP,United States,TRUE
ACK,Nantucket Memorial Airport,Nantucket,MA,USA,41.25305,-70.06018,USW00014756,0.052,5,5,4,356,370,41.2531,-70.0608,MA,NANTUCKET MEM AP,United States,TRUE
ACT,Waco Regional Airport,Waco,TX,USA,31.61129,-97.23052,USW00013959,0.873,0,0,0,0,0,31.6189,-97.2283,TX,WACO RGNL AP,United States,TRUE
ACV,Arcata Airport,Arcata/Eureka,CA,USA,40.97812,-124.10862,USW00024283,0.003,0,0,0,68,68,40.9781,-124.1086,CA,ARCATA EUREKA AP,United States,TRUE
ACY,Atlantic City International Airport,Atlantic City,NJ,USA,39.45758,-74.57717,USW00093730,1.25,0,0,0,0,0,39.4494,-74.5672,NJ,ATLANTIC CITY INTL AP,United States,TRUE
ADK,Adak Airport,Adak,AK,USA,51.87796,-176.64603,USW00025628,698.233,8,8,0,363,379,56.6,-169.565,AK,ST GEORGE ISLAND AP,United States,TRUE
ADQ,Kodiak Airport,Kodiak,AK,USA,57.74997,-152.49386,USW00025501,0.507,0,0,0,0,0,57.7511,-152.4856,AK,KODIAK AP,United States,TRUE
AEX,Alexandria International Airport,Alexandria,LA,USA,31.32737,-92.54856,USW00093915,1.256,1,1,2,35,39,31.3347,-92.5586,LA,ALEXANDRIA INTL AP,United States,TRUE
AGS,Augusta Regional Airport-á(Bush Field),Augusta,GA,USA,33.36996,-81.9645,USW00003820,0.629,0,0,0,0,0,33.3644,-81.9633,GA,AUGUSTA BUSH FLD AP,United States,TRUE
AKN,King Salmon Airport,King Salmon,AK,USA,58.6768,-156.64922,USW00025503,1.183,0,0,0,0,0,58.6794,-156.6294,AK,KING SALMON,United States,FALSE
